Data,Ricoverati in ospedale / 8,Terapia intensiva,Deceduti x 5
0,15.875,26,0.0
1,18.75,35,2.142857142857143
2,20.5,36,3.5714285714285716
3,38.0,56,7.142857142857143
4,51.125,64,10.0
5,63.25,105,15.714285714285714
6,97.375,140,19.285714285714285
7,113.5,166,32.142857142857146
8,157.875,229,49.28571428571429
9,205.125,295,67.85714285714286
10,267.625,351,93.57142857142858
11,357.0,462,125.71428571428571
12,402.25,567,145.71428571428572
13,525.875,650,237.14285714285717
14,631.125,733,293.57142857142856
15,739.375,877,394.28571428571433
16,858.25,1028,514.2857142857143
17,975.375,1153,620.0
18,1094.25,1328,763.5714285714287
19,1236.25,1518,862.8571428571429
20,1416.875,1672,1030.7142857142858
21,1609.5,1851,1210.7142857142858
22,1869.25,2060,1337.1428571428573
23,2077.5,2257,1536.4285714285713
24,2281.875,2498,1706.4285714285713
25,2334.375,2655,1975.7142857142858
26,2570.625,2857,2417.1428571428573
27,2856.875,3009,2619.2857142857147
28,2987.0,3204,2799.2857142857147
29,3166.625,3396,3083.5714285714284
30,3325.125,3489,3232.1428571428573
31,3545.625,3612,3400.0
32,3720.125,3732,3644.2857142857147
33,3816.5,3856,3712.8571428571427
34,3911.5,3906,3787.8571428571427
35,3972.0,3981,3938.5714285714284
36,4026.875,4023,4005.7142857142853
37,4054.75,4035,4037.1428571428573
38,4074.125,4053,4107.142857142857
39,4101.125,4068,3962.1428571428573
40,4125.5,3994,3813.5714285714284
41,4115.75,3977,3648.5714285714284
42,4109.25,3898,3522.8571428571427
43,4063.75,3792,3356.4285714285716
44,4022.25,3693,3224.2857142857147
45,4000.5,3605,3117.1428571428573
46,3967.375,3497,2977.1428571428573
47,3940.625,3381,2932.8571428571427
48,3898.75,3343,2865.7142857142853
49,3910.375,3260,2815.7142857142853
50,3899.625,3186,2814.2857142857147
51,3840.25,3079,2840.0
52,3728.625,2936,2779.2857142857147
53,3574.75,2812,2782.8571428571427
54,3467.5,2733,2685.0
55,3458.5,2635,2686.4285714285716
56,3434.875,2573,2606.4285714285716
57,3325.625,2471,2557.8571428571427
58,3273.625,2384,2457.1428571428573
59,3142.25,2267,2413.5714285714284
60,3030.125,2173,2302.8571428571427
61,2954.375,2102,2255.0
62,2922.625,2009,2131.4285714285716
63,2788.625,1956,2045.0
64,2698.25,1863,1936.4285714285713
65,2625.625,1795,1855.0
66,2480.375,1694,1727.1428571428573
67,2393.375,1578,1619.2857142857142
68,2362.0,1539,1661.4285714285713
69,2342.875,1501,1600.0
70,2287.75,1479,1501.4285714285713
71,2212.125,1427,1397.1428571428573
72,2137.75,1333,1430.0
73,2060.625,1311,1422.1428571428573
74,1975.5,1168,1403.5714285714287
75,1858.5,1034,1203.5714285714287
76,1830.625,1027,1197.142857142857
77,1817.25,999,1185.7142857142858
78,1727.125,952,1140.0
79,1633.125,893,1015.7142857142857
80,1538.5,855,1007.1428571428571
81,1450.0,808,1006.4285714285713
82,1396.875,775,977.1428571428571
83,1384.125,762,962.8571428571429
84,1369.5,749,905.7142857142857
85,1338.375,716,898.5714285714287
86,1287.5,676,874.2857142857143
87,1238.625,640,798.5714285714287
88,1194.0,595,718.5714285714287
89,1158.375,572,694.2857142857143
90,1145.75,553,626.4285714285714
91,1090.75,541,621.4285714285714
92,1054.75,521,561.4285714285714
93,1029.25,505,530.0
94,983.5,489,468.57142857142856
95,946.125,475,437.85714285714283
96,891.25,450,432.14285714285717
97,852.75,435,450.0
98,815.375,424,427.14285714285717
99,790.5,408,410.71428571428567
100,761.875,353,377.85714285714283
101,730.125,338,390.71428571428567
102,702.125,316,389.28571428571433
103,661.875,293,361.42857142857144
104,643.875,287,345.71428571428567
105,626.5,283,349.28571428571433
106,605.5,263,366.42857142857144
107,571.125,249,366.42857142857144
108,545.875,236,341.42857142857144
109,515.0,227,320.71428571428567
110,495.875,220,325.0
111,475.375,209,318.57142857142856
112,462.0,207,290.7142857142857
113,434.75,177,258.57142857142856
114,409.5,163,238.57142857142858
115,379.375,168,247.85714285714283
116,349.125,161,241.42857142857142
117,328.25,152,220.71428571428572
118,307.75,148,206.42857142857142
119,270.625,127,204.28571428571428
120,246.0,115,192.85714285714283
121,214.625,107,140.0
122,202.25,103,117.14285714285714
123,182.625,105,105.0
124,169.625,97,75.71428571428571
125,157.25,98,74.28571428571429
126,152.0,96,62.142857142857146
127,147.875,93,65.71428571428571
128,139.0,87,102.85714285714286
129,130.625,82,100.0
130,129.375,79,89.28571428571429
131,126.375,71,98.57142857142858
132,127.375,74,87.85714285714286
133,127.25,72,89.28571428571429
134,126.25,70,94.28571428571429
135,121.25,71,90.0
136,117.5,69,77.14285714285714
137,113.625,65,75.0
138,111.625,67,65.0
139,105.5,68,66.42857142857143
140,104.125,65,70.0
141,104.625,60,60.71428571428571
142,106.75,57,59.28571428571429
143,100.375,53,65.0
144,102.625,50,64.28571428571429
145,100.875,50,69.28571428571429
146,99.0,49,65.0
147,99.0,47,65.0
148,97.625,49,63.57142857142857
149,96.5,48,60.71428571428571
150,95.25,49,53.57142857142857
151,94.875,46,49.28571428571429
152,96.5,41,42.857142857142854
153,97.375,44,44.28571428571429
154,98.125,45,38.57142857142857
155,98.625,40,35.714285714285715
156,96.125,38,33.57142857142857
157,99.375,47,28.571428571428573
158,94.625,41,31.428571428571427
159,93.5,43,31.428571428571427
160,93.75,42,33.57142857142857
161,96.875,41,38.57142857142857
162,100.25,41,34.285714285714285
163,100.625,41,37.142857142857146
164,100.5,42,39.285714285714285
165,102.625,42,35.0
166,101.75,43,40.71428571428571
167,101.0,45,36.42857142857143
168,103.125,46,30.714285714285715
169,106.25,49,31.428571428571427
170,104.0,53,31.428571428571427
171,105.125,55,31.428571428571427
172,103.375,56,31.428571428571427
173,102.375,55,135.0
174,105.375,56,136.42857142857142
175,108.5,58,136.42857142857142
176,112.625,58,135.71428571428572
177,116.5,66,133.57142857142858
178,118.875,68,133.57142857142858
179,123.5,69,137.85714285714286
180,123.5,64,27.142857142857146
181,130.0,69,29.285714285714285
182,138.75,65,29.285714285714285
183,140.5,66,28.571428571428573
184,140.5,69,32.857142857142854
185,149.75,67,32.142857142857146
186,156.5,74,32.142857142857146
187,155.875,79,30.714285714285715
188,167.125,86,28.571428571428573
189,172.75,94,30.0
190,185.875,107,32.857142857142854
191,193.25,109,27.857142857142854
192,203.125,120,31.428571428571427
193,216.0,121,32.857142857142854
194,217.625,121,42.857142857142854
195,227.0,133,45.71428571428571
196,232.625,142,50.0
197,237.875,143,51.42857142857143
198,241.0,150,57.142857142857146
199,250.0,164,57.142857142857146
200,253.0,175,56.42857142857143
201,266.625,182,50.0
202,278.625,187,49.28571428571429
203,289.875,197,50.71428571428571
204,302.875,201,50.0
205,311.5,207,48.57142857142857
206,320.0,212,50.71428571428571
207,324.375,208,50.71428571428571
208,324.375,215,63.57142857142857
209,323.375,222,69.28571428571429
210,338.375,232,71.42857142857143
211,355.375,239,75.0
212,362.75,244,80.71428571428571
213,372.125,246,87.85714285714286
214,372.625,244,95.0
215,374.125,247,90.0
216,387.5,254,91.42857142857142
217,405.125,264,90.71428571428571
218,414.875,271,97.85714285714286
219,415.875,280,97.14285714285714
220,423.5,291,97.85714285714286
221,429.5,294,100.0
222,437.75,297,107.14285714285714
223,448.75,303,107.85714285714286
224,476.25,323,107.85714285714286
225,493.0,319,110.71428571428571
226,514.875,337,119.28571428571429
227,535.375,358,117.85714285714286
228,559.125,387,121.42857142857142
229,590.75,390,122.85714285714286
230,617.375,420,128.57142857142858
231,659.125,452,145.0
232,698.75,514,154.28571428571428
233,751.125,539,162.85714285714283
234,797.75,586,206.42857142857142
235,852.0,638,225.71428571428572
236,915.25,705,238.57142857142858
237,985.125,750,269.2857142857143
238,1059.125,797,293.57142857142856
239,1165.5,870,327.85714285714283
240,1247.875,926,387.85714285714283
241,1335.75,992,425.71428571428567
242,1449.75,1049,451.42857142857144
243,1551.875,1128,525.7142857142857
244,1651.75,1208,567.8571428571429
245,1785.125,1284,616.4285714285714
246,1920.75,1411,710.7142857142857
247,2064.625,1536,766.4285714285713
248,2201.875,1651,824.2857142857143
249,2342.5,1746,901.4285714285713
250,2476.125,1843,1005.7142857142857
251,2605.125,1939,1062.857142857143
252,2732.75,2022,1128.5714285714287
253,2917.375,2225,1222.857142857143
254,3051.0,2292,1315.7142857142858
255,3205.875,2391,1478.5714285714287
256,3315.0,2515,1655.0
257,3467.875,2634,1746.4285714285713
258,3648.625,2749,1834.2857142857142
259,3810.625,2849,1922.1428571428573
260,3950.5,2971,2084.285714285714
261,4065.625,3081,2290.0
262,4130.375,3170,2426.4285714285716
263,4268.0,3230,2500.714285714286
264,4338.0,3306,2585.7142857142853
265,4433.625,3422,2739.2857142857147
266,4503.5,3492,2845.0
267,4585.75,3612,2952.8571428571427
268,4646.75,3670,3045.7142857142853
269,4665.25,3712,3057.8571428571427
270,4713.125,3748,3164.2857142857147
271,4727.625,3758,3270.0
272,4760.0,3801,3281.4285714285716
273,4813.375,3810,3371.4285714285716
274,4799.125,3816,3458.5714285714284
275,4770.125,3848,3436.4285714285716
276,4735.5,3846,3557.1428571428573
277,4683.25,3782,3648.5714285714284
278,4632.625,3762,3644.2857142857147
279,4579.0,3753,3629.2857142857147
280,4616.375,3744,3659.2857142857147
281,4559.25,3663,3610.7142857142853
